Id,Created At,Request Text,Point of Contact,Embargo Ends On Date,Closed Date,Closure Reasons,URL
23-1666,9/28/2023 08:31,Our office is requesting the signal timing and as-built plans located at the intersection of Newman Springs Road (CR 520) and Shrewsbury Avenue (CR 13) in Tinton Falls. Please feel free to reach out with any questions or concerns.,Valerie Eppel,9/29/2023 09:50,9/29/2023 09:50,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1666
23-1563,9/12/2023 15:35,"Hello:   We are requesting key maps, typical sections, construction plans, tie sheets, as-builts ,and general property parcel maps for County Route 537 from mileposts 51.34-51.56.",Valerie Eppel,9/13/2023 11:03,9/13/2023 11:03,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1563
23-1560,9/12/2023 14:52,Please see attached,Valerie Eppel,9/13/2023 10:57,9/13/2023 10:57,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-1560
23-1554,9/12/2023 14:37,"Map entitled ""Bulkhead improvements at Comptons Creek, Block 137, Lot 2.07, Middletown Township, Monmouth County, New Jersey"", prepared by Steven M. Edwards, PLS dated April 23, 2014 as reference in Deed book 9338 page 1507, full size plan if available.&nbsp;",JoAnn Denton,9/14/2023 12:52,9/14/2023 12:52,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1554
23-1542,9/11/2023 14:33,"Knoxhill Townhomes located in Neptune NJ 07753 (N Knox Blvd, Neptune City, NJ 07753) is a homeowner associations consisting of 190 units. They recently underwent a deck replacement project for all 190 units and has recently passed all the inspections from the township. Need confirmation / documentation regarding the passed inspection by Neptune Township completed to assist in Fannie Mae on approving the condo project.",Valerie Eppel,9/12/2023 08:23,9/12/2023 08:23,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-1542
23-1517,9/5/2023 15:26,"Construction Phase for Rumson-Sea Bright Bridge S-32 Replacement on Rumson Road (County Route 520) over the Shrewsbury River Borough of Rumson and Borough of Sea Bright, New Jersey  Is there a schedule of values and a CPM for this project that is accessible to the public?",Valerie Eppel,9/14/2023 12:58,9/14/2023 12:58,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1517
23-1505,9/1/2023 11:22,&nbsp;Rumson-Sea Bright Bridge S-32&nbsp;  Is there a latest CPM schedule and a schedule of values?,Valerie Eppel,9/14/2023 12:56,9/14/2023 12:56,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1505
23-1504,9/1/2023 11:06,"We are conducting a Survey for a property located at 372 Monmouth Road in West Long Branch and are looking for any As-Built, ROW, GPPM or Construction maps for a section of Locust Ave (County Route 15) from it's intersection with Monmouth Road (State Route 71) to its intersection with  Wall Street (County Route 32). This mapping will be used to help us establish the Right-of-Way of Locust Ave as it relates to our property.   Thank you!",Valerie Eppel,9/6/2023 09:01,9/6/2023 09:01,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1504
23-1489,8/29/2023 16:20,Please see attached,Christine Hanlon,9/1/2023 16:05,9/1/2023 16:05,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1489
23-1478,8/29/2023 11:39,"Can you please send me any open permits for 5001 Runyan Ave in Long Branch?   Can you please send me any surveys or plot plans available for 501 Runyan Ave in Long Branch?   Can you please send me any open violations, permits or construction documents for 501 Runyan Ave in Long Branch?",Valerie Eppel,8/29/2023 12:17,8/29/2023 12:17,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-1478
23-1460,8/24/2023 15:36,"My office would like to request Constuction, Roadway and/or As Built plans along Holmdel Road (CR 4) between MP 7.78 – MP 8.28 in Hazlet, Monmouth County NJ",Valerie Eppel,8/28/2023 08:23,8/28/2023 08:23,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1460
23-1421,8/18/2023 13:28,"While conducting a boundary analysis at the intersection of Hope Rd. &amp; Pine Brook Rd. our surveyor located a few county monuments that we would like to identify. For reference, these monuments fell on Tinton Fall's tax map sheet #37 and Eatontown's tax map sheet #6. We cannot identify if these monuments were set for the road's point of tangency or if they coincide with nearby property corners.  Any information on the monuments at this intersection that you have would be greatly appreciated.",Valerie Eppel,9/26/2023 09:19,9/26/2023 09:19,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1421
23-1415,8/17/2023 13:20,"Any documentation that has changed the county road 524 frontage line for Blk 825 Lot 2. Wall township shows a resessed jog on the tax map from 2015/2016, and has received no county revisions. This property has changed hands and a recent survey for this lot differs from the tax map and on-line maps.  Any info would be appreciated.",Tamara Brown,9/6/2023 08:59,9/6/2023 08:59,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-1415
23-1323,8/2/2023 12:05,Please see attached,Valerie Eppel,8/2/2023 13:15,8/2/2023 13:15,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1323
23-1318,8/1/2023 15:55,"Hello -   Our office is preparing existing conditions plans for a proposed land development project and respectfully requests any plans the County may have showing the existing drainage system along the south side of Monmouth Road (CR 537) from its intersection with Smithburg Road / SIloam Road (CR 527) to a point approximately 1,000 feet to the east. As-built plans would be preferred if possible. A marked-up plan showing this location is attached. Please let me know if you need any additional information to process this request.   Thanks",Valerie Eppel,8/2/2023 13:21,8/2/2023 13:21,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1318
23-1313,8/1/2023 09:28,Hello – My office is working on a traffic impact study for a planned development near the signalized intersection of Monmouth Road (CR 537) and Siloam Road / Smithburg Road (CR 527) in Freehold Township. We respectfully request a copy of the current traffic signal plan and signal timing directive so we can incorporate that information in our analysis. Feel free to contact me if you have any questions. Thanks for your assistance.,Valerie Eppel,8/8/2023 08:34,8/8/2023 08:34,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1313
23-1309,7/31/2023 15:59,"My office would like to request Contruction, Roadway, and/or As Built plans along Squankum Road (CR 524) between MP 32.59-33.09 in Howell, NJ.",Tamara Brown,8/8/2023 08:53,8/8/2023 08:53,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1309
23-1305,7/31/2023 12:57,"Dear Hazlet Township,   This is a request for public records made under OPRA and the common law right of access. I am not required to fill out an official form. Please acknowledge receipt of this message.  Records requested:  Property: 1 Hillside Avenue, Hazlet, NJ 07730  Block#: 143.01  Lot#: 6  -Any open and closed construction permits, c/o for all work  -Any open and closed permit for oil tank removal  -Any zoning violations  -Any tax liens and tax sale certifications, unpaid taxes, water or sewer  -Any municipal or health violations on the property, outside fines, judgments and liens on the property  -A copy of any surveys on record  -Any record of oil tank removal.   DATE RANGE: 1/1/2000 - Present   Yours sincerely,  John DeStefano",Tamara Brown,8/9/2023 13:46,8/9/2023 13:46,No Records: Does Not Exist,https://monmouthcountynj.nextrequest.com/requests/23-1305
23-1289,7/28/2023 08:25,"To Whom it may concern,  &nbsp;  I am a surveyor working on a boundary survey for a property at the intersection of Herbertsville Rd. and Easy St. in Wall township.&nbsp;The evidence is leading me to believe that the boundary may be extending into the improvements made to the intersection between 2019 and 2021.&nbsp;  &nbsp;  I am reaching out to try and obtain either the engineering plan for those improvements or the existing conditions survey preformed beforehand which I would potentially help me resolve some ambiguity in the survey and help place the boundary in relation to the county road.   &nbsp;  I would be grateful for any help you can provide.  &nbsp;  Best regards,  Dean Kirby  Vallee Surveying   609-845-3268   PO Box 419   Hainesport, New Jersey 08036    http://www.valleesurveying.com",Valerie Eppel,7/31/2023 10:06,7/31/2023 10:06,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1289
23-1285,7/27/2023 13:34,"We are requesting key maps, typical sections, construction plans, tie sheets, &amp; general property parcel maps for Monmouth County Route 51 from mileposts 1.01 (Park Rd) - 1.49 (Laboratory Rd).    Additionally we are requesting a map titled ""General Property Parcel Map of Hope Road."" Said map is referenced in Deed Book 8002 Page 6111, attached below. Thank you.",Valerie Eppel,7/31/2023 10:04,7/31/2023 10:04,No responsive documents,https://monmouthcountynj.nextrequest.com/requests/23-1285
23-1276,7/26/2023 11:24,"I would like to request the traffic signal timing and the traffic signal/electrical plan for the intersection of Branchport Avenue &amp; Atlantic Avenue in Long Branch, Monmouth County, NJ.",Valerie Eppel,7/31/2023 10:05,7/31/2023 10:05,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1276
23-1240,7/19/2023 13:56,Please see attached,Valerie Eppel,7/26/2023 16:32,7/26/2023 16:32,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1240
23-1219,7/17/2023 15:04,"All information for the Tinton Falls Traffic Light located at Route 16 (Asbury Avenue) and Route 547 (Shafto Road) including traffic light sequencing which includes time of day on July 6, 2023. Additionally, a copy of the traffic light plans, maintenance/repair records, changes made to the light and accident statistics at this light from 2015 to the present.   Please contact Lee Ann at (732) 493-9400 with cost of same or with any questions.",Valerie Eppel,7/26/2023 16:31,7/26/2023 16:31,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1219
23-1205,7/13/2023 13:29,"We are requesting key maps, typical sections, construction plans, tie sheets, &amp; general property parcel maps for Monmouth County 2 (West to East) from mileposts 1.77 (Madison Avenue) - 1.98 (Beach Avenue).",Valerie Eppel,7/20/2023 08:19,7/20/2023 08:19,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1205
23-1178,7/10/2023 09:16,"Hello,    My office would like to request the plan set titled:   ""Plans of the Improvements to Shafto Road (Monmouth County Route No. 547) from New Jersey State Highway Route 33 to Wardell Road, Borough of Tinton Falls &amp; Wall Township, County of Monmouth, State of New Jersey"" dated 5/22/97   We have sheets 1 &amp; 3-16 but are looking for the full set. I've attached the cover sheet of the plan set.   Thank you!",Valerie Eppel,7/18/2023 08:38,7/18/2023 08:38,Fulfilled,https://monmouthcountynj.nextrequest.com/requests/23-1178
23-1102,6/27/2023 16:38,"For 310 Ocean Avenue #4 Long Branch NJ, I would like to know if there are any open permits and/or permits for any work done on the property. Thank you.",Tamara Brown,6/28/2023 09:02,6/28/2023 09:02,No Records: Other Agency,https://monmouthcountynj.nextrequest.com/requests/23-1102
